AGYTYP,AGYTYPT,AGY,AGYT,AGYSUB,AGYSUBT,agy_typ,agy_typ2
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF02,AF02-AIR FORCE INSPECTION AND SAFETY CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF03,AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF04,AF04-AIR FORCE COMMUNICATIONS AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF06,AF06-AIR FORCE AUDIT AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF07,AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF08,AF08-AIR FORCE OFFICE OF SECURITY POLICE,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF09,AF09-AIR FORCE MANPOWER AND PERSONNEL CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0B,AF0B-U.S. AIR FORCE ACADEMY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0D,"AF0D-U.S. AIR FORCES, EUROPE",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0J,AF0J-AIR TRAINING COMMAND,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0M,"AF0M-HEADQUARTERS, AIR FORCE RESERVE",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0N,"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",Defense,Management and Administration
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0R,AF0R-PACIFIC AIR FORCES,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF0U,AF0U-ELECTRONIC SECURITY COMMAND,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF10,AF10-AIR FORCE CENTER FOR QUALITY AND MANAGEMENT INNOVATION,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1C,AF1C-AIR COMBAT COMMAND,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1G,AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1L,AF1L-AIR MOBILITY COMMAND,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1M,AF1M-AIR FORCE MATERIEL COMMAND,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1Q,AF1Q-HQ AF FLIGHT STANDARDS AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1S,AF1S-SPACE COMMAND,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1W,AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF27,AF27-AIR FORCE AGENCY FOR MODELING AND SIMULATION,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF28,AF28-AIR FORCE COMMUNICATION AND INFORMATION CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF29,AF29-AIR FORCE NATIONAL SECURITY EMERGENCY PREPAREDNESS,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2A,AF2A-AIR FORCE COST CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2B,AF2B-AIR FORCE DOCTRINE CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2C,AF2C-AIR FORCE CIVILIAN PERSONNEL MANAGEMENT CENTER,Defense,Defense
